"filename", "language", "C", "Batch", "C++", "Shell Script", "comment", "blank", "total"
"c:\Dev\Engine\Requiem\code\engine\build.bat", "Batch", 0, 14, 0, 0, 4, 4, 22
"c:\Dev\Engine\Requiem\code\engine\build.sh", "Shell Script", 0, 0, 0, 9, 2, 1, 12
"c:\Dev\Engine\Requiem\code\engine\src\containers\darray.c", "C", 97, 0, 0, 0, 3, 19, 119
"c:\Dev\Engine\Requiem\code\engine\src\containers\darray.h", "C++", 0, 0, 48, 0, 7, 21, 76
"c:\Dev\Engine\Requiem\code\engine\src\core\application.c", "C", 149, 0, 0, 0, 12, 41, 202
"c:\Dev\Engine\Requiem\code\engine\src\core\application.h", "C++", 0, 0, 12, 0, 6, 9, 27
"c:\Dev\Engine\Requiem\code\engine\src\core\asserts.h", "C++", 0, 0, 44, 0, 4, 11, 59
"c:\Dev\Engine\Requiem\code\engine\src\core\clock.c", "C", 14, 0, 0, 0, 0, 4, 18
"c:\Dev\Engine\Requiem\code\engine\src\core\clock.h", "C++", 0, 0, 9, 0, 3, 5, 17
"c:\Dev\Engine\Requiem\code\engine\src\core\event.c", "C", 100, 0, 0, 0, 14, 26, 140
"c:\Dev\Engine\Requiem\code\engine\src\core\event.h", "C++", 0, 0, 34, 0, 11, 20, 65
"c:\Dev\Engine\Requiem\code\engine\src\core\input.c", "C", 157, 0, 0, 0, 19, 33, 209
"c:\Dev\Engine\Requiem\code\engine\src\core\input.h", "C++", 0, 0, 147, 0, 3, 22, 172
"c:\Dev\Engine\Requiem\code\engine\src\core\logger.c", "C", 33, 0, 0, 0, 7, 14, 54
"c:\Dev\Engine\Requiem\code\engine\src\core\logger.h", "C", 45, 0, 0, 0, 11, 17, 73
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_memory.c", "C", 91, 0, 0, 0, 3, 19, 113
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_memory.h", "C++", 0, 0, 30, 0, 1, 10, 41
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_string.c", "C", 15, 0, 0, 0, 0, 4, 19
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_string.h", "C++", 0, 0, 5, 0, 0, 5, 10
"c:\Dev\Engine\Requiem\code\engine\src\defines.h", "C++", 0, 0, 75, 0, 11, 14, 100
"c:\Dev\Engine\Requiem\code\engine\src\entry.h", "C++", 0, 0, 28, 0, 8, 10, 46
"c:\Dev\Engine\Requiem\code\engine\src\game_types.h", "C++", 0, 0, 10, 0, 10, 7, 27
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform.h", "C++", 0, 0, 23, 0, 0, 8, 31
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform_linux_x11.c", "C", 498, 0, 0, 0, 43, 79, 620
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform_win32.c", "C", 224, 0, 0, 0, 27, 53, 304
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer.backend.c", "C", 21, 0, 0, 0, 0, 6, 27
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_backend.h", "C++", 0, 0, 5, 0, 0, 3, 8
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.c", "C", 36, 0, 0, 0, 3, 13, 52
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.h", "C++", 0, 0, 8, 0, 0, 5, 13
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_types.inl", "C++", 0, 0, 19, 0, 1, 9, 29
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.c", "C", 152, 0, 0, 0, 10, 41, 203
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.h", "C++", 0, 0, 7, 0, 0, 4, 11
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.c", "C", 381, 0, 0, 0, 35, 67, 483
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.h", "C++", 0, 0, 8, 0, 0, 4, 12
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_platform.h", "C++", 0, 0, 8, 0, 4, 5, 17
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.c", "C", 109, 0, 0, 0, 11, 21, 141
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.h", "C++", 0, 0, 29, 0, 4, 6, 39
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_types.inl", "C++", 0, 0, 51, 0, 0, 14, 65
"Total", "-", 2122, 14, 600, 9, 277, 654, 3676
