"filename", "language", "C++", "C", "Batch", "Shell Script", "comment", "blank", "total"
"c:\Dev\Engine\Requiem\code\engine\build.bat", "Batch", 0, 0, -14, 0, -4, -4, -22
"c:\Dev\Engine\Requiem\code\engine\build.sh", "Shell Script", 0, 0, 0, -9, -2, -1, -12
"c:\Dev\Engine\Requiem\code\engine\src\containers\darray.c", "C", 0, -97, 0, 0, -3, -19, -119
"c:\Dev\Engine\Requiem\code\engine\src\containers\darray.h", "C++", -48, 0, 0, 0, -7, -21, -76
"c:\Dev\Engine\Requiem\code\engine\src\core\application.c", "C", 0, -149, 0, 0, -12, -41, -202
"c:\Dev\Engine\Requiem\code\engine\src\core\application.h", "C++", -12, 0, 0, 0, -6, -9, -27
"c:\Dev\Engine\Requiem\code\engine\src\core\asserts.h", "C++", -44, 0, 0, 0, -4, -11, -59
"c:\Dev\Engine\Requiem\code\engine\src\core\clock.c", "C", 0, -14, 0, 0, 0, -4, -18
"c:\Dev\Engine\Requiem\code\engine\src\core\clock.h", "C++", -9, 0, 0, 0, -3, -5, -17
"c:\Dev\Engine\Requiem\code\engine\src\core\event.c", "C", 0, -100, 0, 0, -14, -26, -140
"c:\Dev\Engine\Requiem\code\engine\src\core\event.h", "C++", -34, 0, 0, 0, -11, -20, -65
"c:\Dev\Engine\Requiem\code\engine\src\core\input.c", "C", 0, -157, 0, 0, -19, -33, -209
"c:\Dev\Engine\Requiem\code\engine\src\core\input.h", "C++", -147, 0, 0, 0, -3, -22, -172
"c:\Dev\Engine\Requiem\code\engine\src\core\logger.c", "C", 0, -33, 0, 0, -7, -14, -54
"c:\Dev\Engine\Requiem\code\engine\src\core\logger.h", "C", 0, -45, 0, 0, -11, -17, -73
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_memory.c", "C", 0, -91, 0, 0, -3, -19, -113
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_memory.h", "C++", -30, 0, 0, 0, -1, -10, -41
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_string.c", "C", 0, -15, 0, 0, 0, -4, -19
"c:\Dev\Engine\Requiem\code\engine\src\core\rq_string.h", "C++", -5, 0, 0, 0, 0, -5, -10
"c:\Dev\Engine\Requiem\code\engine\src\defines.h", "C++", -75, 0, 0, 0, -11, -14, -100
"c:\Dev\Engine\Requiem\code\engine\src\entry.h", "C++", -28, 0, 0, 0, -8, -10, -46
"c:\Dev\Engine\Requiem\code\engine\src\game_types.h", "C++", -10, 0, 0, 0, -10, -7, -27
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform.h", "C++", -23, 0, 0, 0, 0, -8, -31
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform_linux_x11.c", "C", 0, -498, 0, 0, -43, -79, -620
"c:\Dev\Engine\Requiem\code\engine\src\platform\platform_win32.c", "C", 0, -224, 0, 0, -27, -53, -304
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.c", "C", 0, 192, 0, 0, 14, 39, 245
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.c", "C", 0, 82, 0, 0, 3, 19, 104
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.h", "C++", 28, 0, 0, 0, 0, 8, 36
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.c", "C", 0, 34, 0, 0, 2, 5, 41
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.h", "C++", 1, 0, 0, 0, 0, 1, 2
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.c", "C", 0, 66, 0, 0, 1, 8, 75
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.h", "C++", 9, 0, 0, 0, 0, 5, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.c", "C", 0, 40, 0, 0, 2, 7, 49
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.h", "C++", 11, 0, 0, 0, 0, 3, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.c", "C", 0, 78, 0, 0, 5, 16, 99
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.h", "C++", 20, 0, 0, 0, 0, 4, 24
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.c", "C", 0, 106, 0, 0, 11, 26, 143
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.h", "C++", 15, 0, 0, 0, 0, 5, 20
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.c", "C", 0, 76, 0, 0, 6, 14, 96
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_types.inl", "C++", 63, 0, 0, 0, 4, 25, 92
"Total", "-", -318, -749, -14, -9, -161, -271, -1522
