"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer.backend.c", "C", 0, 21, 0, 6, 27
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_backend.h", "C++", 5, 0, 0, 3, 8
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.c", "C", 0, 36, 3, 13, 52
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.h", "C++", 8, 0, 0, 5, 13
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_types.inl", "C++", 19, 0, 1, 9, 29
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.c", "C", 0, 344, 24, 80, 448
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.h", "C++", 7, 0, 0, 4, 11
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.c", "C", 0, 82, 3, 19, 104
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.h", "C++", 28, 0, 0, 8, 36
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.c", "C", 0, 415, 37, 72, 524
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.h", "C++", 9, 0, 0, 5, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.c", "C", 0, 66, 1, 8, 75
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.h", "C++", 9, 0, 0, 5, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.c", "C", 0, 40, 2, 7, 49
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.h", "C++", 11, 0, 0, 3, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.c", "C", 0, 78, 5, 16, 99
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.h", "C++", 20, 0, 0, 4, 24
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_platform.h", "C++", 8, 0, 4, 5, 17
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.c", "C", 0, 106, 11, 26, 143
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.h", "C++", 15, 0, 0, 5, 20
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.c", "C", 0, 185, 17, 35, 237
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.h", "C++", 29, 0, 4, 6, 39
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_types.inl", "C++", 114, 0, 4, 39, 157
"Total", "-", 282, 1373, 116, 383, 2154
