"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer.backend.c", "C", -21, 0, 0, -6, -27
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_backend.h", "C++", 0, -5, 0, -3, -8
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.c", "C", -36, 0, -3, -13, -52
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_frontend.h", "C++", 0, -8, 0, -5, -13
"c:\Dev\Engine\Requiem\code\engine\src\renderer\renderer_types.inl", "C++", 0, -19, -1, -9, -29
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.c", "C", 147, 0, 25, 47, 219
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.c", "C", 10, 0, 0, 1, 11
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.c", "C", 25, 0, 4, 3, 32
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_utils.c", "C", 120, 0, 10, 5, 135
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_utils.h", "C++", 0, 4, 0, 3, 7
"Total", "-", 245, -28, 35, 23, 275
