"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.c", "C", 491, 0, 49, 127, 667
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_backend.h", "C++", 0, 7, 0, 4, 11
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.c", "C", 82, 0, 3, 19, 104
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_command_buffer.h", "C++", 0, 28, 0, 8, 36
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.c", "C", 415, 0, 37, 72, 524
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_device.h", "C++", 0, 9, 0, 5, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.c", "C", 66, 0, 1, 8, 75
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_fence.h", "C++", 0, 9, 0, 5, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.c", "C", 40, 0, 2, 7, 49
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_framebuffer.h", "C++", 0, 11, 0, 3, 14
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.c", "C", 78, 0, 5, 16, 99
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_image.h", "C++", 0, 20, 0, 4, 24
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_platform.h", "C++", 0, 8, 4, 5, 17
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.c", "C", 116, 0, 11, 27, 154
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_renderpass.h", "C++", 0, 15, 0, 5, 20
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.c", "C", 210, 0, 21, 38, 269
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_swapchain.h", "C++", 0, 29, 4, 6, 39
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_types.inl", "C++", 0, 114, 4, 39, 157
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_utils.c", "C", 120, 0, 10, 5, 135
"c:\Dev\Engine\Requiem\code\engine\src\renderer\vulkan\vulkan_utils.h", "C++", 0, 4, 0, 3, 7
"Total", "-", 1618, 254, 151, 406, 2429
